DoneDateFormatted,Precipitation,AllRev,TickRev,TurfRev,DayOfWeekNum,DayOfWeekName
2021-10-12,0.01,26396.3,15071.3,11233.0,1,Tuesday
2021-10-13,0.0,25787.0,15084.0,10553.0,2,Wednesday
2021-10-14,0.0,29396.0,17456.0,11865.0,3,Thursday
2021-10-15,0.0,24458.0,15688.0,8620.0,4,Friday
2021-10-16,0.0,6282.0,658.0,5624.0,5,Saturday
2021-10-17,0.3,0.0,0.0,0.0,6,Sunday
2021-10-18,0.0,24804.0,16339.0,8050.0,0,Monday
2021-10-19,0.0,24425.0,14538.0,8978.0,1,Tuesday
2021-10-20,0.0,25595.0,14945.0,9758.0,2,Wednesday
2021-10-21,0.0,25570.0,17795.0,6773.0,3,Thursday
2021-10-22,0.0,27057.0,18188.0,8310.0,4,Friday
2021-10-23,0.0,1454.0,1454.0,0.0,5,Saturday
2021-10-24,0.0,0.0,0.0,0.0,6,Sunday
2021-10-25,0.51,6048.0,0.0,5446.0,0,Monday
2021-10-26,1.24,0.0,0.0,0.0,1,Tuesday
2021-10-27,0.0,7192.0,0.0,6747.0,2,Wednesday
2021-10-28,0.0,25417.0,17216.0,7247.0,3,Thursday
2021-10-29,0.0,25125.4,16555.0,7180.0,4,Friday
2021-10-30,0.0,432.0,432.0,0.0,5,Saturday
2021-11-01,0.0,25311.0,19006.0,5518.0,0,Monday
2021-11-02,0.0,28300.0,20215.0,6579.0,1,Tuesday
2021-11-03,0.0,26390.0,18837.0,6627.0,2,Wednesday
2021-11-04,0.0,27805.0,19831.0,6243.0,3,Thursday
2021-11-05,0.0,23566.0,16222.0,6421.0,4,Friday
2021-11-06,0.0,1347.0,1347.0,0.0,5,Saturday
2021-11-08,0.0,29770.3,17086.3,10776.0,0,Monday
2021-11-09,0.0,23303.0,14447.0,7475.0,1,Tuesday
2021-11-10,0.0,21132.0,12433.0,7703.0,2,Wednesday
2021-11-11,0.0,20841.0,14640.0,5044.0,3,Thursday
2021-11-12,0.0,0.0,0.0,0.0,4,Friday
2021-11-13,0.0,1762.0,1762.0,0.0,5,Saturday
2021-11-15,0.0,20046.0,16013.0,3346.0,0,Monday
2021-11-16,0.0,20241.0,14410.0,4888.0,1,Tuesday
2021-11-17,0.0,20191.0,18197.0,1415.0,2,Wednesday
2021-11-18,0.0,22608.0,17828.0,3486.0,3,Thursday
2021-11-19,0.0,21921.0,19276.0,1964.0,4,Friday
2021-11-20,0.0,948.0,948.0,0.0,5,Saturday
2021-11-22,0.0,11032.0,10580.0,169.0,0,Monday
2021-11-23,0.0,18063.0,16296.0,471.0,1,Tuesday
2021-11-24,0.0,16266.0,14451.0,1724.0,2,Wednesday
2021-11-29,0.0,11702.0,10477.0,1042.0,0,Monday
2021-11-30,0.0,15065.0,14398.0,518.0,1,Tuesday
2021-12-01,0.0,19370.0,17210.0,1979.0,2,Wednesday
2021-12-02,0.0,9814.0,9356.0,458.0,3,Thursday
